ID;xFeet;yFeet;demand
5;177439;2363187;0
334;349399;2272164;4
2072;315583;2219546;8
349;337145;2289420;4
495;329320;2283473;4
539;338058;2282678;8
1391;352562;2297656;24
1475;316077;2333069;4
1503;316077;2333069;6
71;316567;2349536;2
247;319716;2343501;6
318;315882.71;2353626.96;16
353;317407;2347917;8
415;312544;2369901;8
453;320536;2349365;8
454;319619;2343703;8
455;312475;2357206;4
472;312279;2357530;2
586;312765;2356666;6
1084;343821;2342345;6
1347;343825;2342358;6
1401;312225;2369641;8
1449;325291;2347885;6
1848;343826;2342365;3
442;391860.12;2281823.18;12
1405;391913.13;2283860.63;8
