ID;xFeet;yFeet;demand
0;-4880227;4181069;0
154;-4846395;4201227;4
155;-4846328;4201235;4
156;-4845967;4195662;3
157;-4845853;4196339;18
158;-4845776;4195784;4
159;-4845655;4197482;6
160;-4845655;4197479;3
161;-4845243;4198913;4
162;-4845215;4197815;3
163;-4845195;4196863;16
164;-4844990;4199071;4
165;-4844978;4199034;3
166;-4844953;4198338;3
167;-4844701;4195266;8
168;-4844371;4195930;12
169;-4844278;4199857;8
170;-4844195;4195487;36
171;-4844154;4198225;3
172;-4843680;4200772;18
173;-4843508;4198599;4
174;-4843235;4198247;2
175;-4843168;4197625;4
176;-4843159;4198693;6
177;-4843155;4197623;4
178;-4843067;4196960;3
179;-4843052;4195305;6
180;-4842950;4199897;6
181;-4842719;4197551;4
182;-4842589;4198437;4
183;-4842541;4200151;6
184;-4842430;4195198;3
185;-4842350;4200529;34
186;-4842273;4195152;6
187;-4841823;4200035;16
188;-4841394;4200385;8
189;-4841303;4195202;4
190;-4841288;4192729;4
191;-4841285;4195194;4
192;-4841061;4200332;8
193;-4840423;4199203;16
194;-4839456;4195192;4
195;-4838670;4199929;4
196;-4838440;4197237;4
197;-4838415;4199292;3
198;-4837647;4199912;4
199;-4837153;4193152;28
200;-4836671;4196264;4
201;-4836533;4196928;8
202;-4836208;4199477;6
203;-4835883;4203295;6
204;-4835566;4199368;6
205;-4835327;4196696;6
206;-4835212;4204667;18
207;-4834897;4204636;6
208;-4834751;4203624;6
209;-4834365;4203267;8
210;-4834365;4203267;8
