ID;xFeet;yFeet;demand
5;289746;2310623;0
13;197303;2410509;24
14;205072;2431529;3
15;218489;2436779;8
18;215384;2439281;6
20;216326;2425585;3
21;219188;2437317;8
22;218471;2420571;6
24;212727;2428117;8
27;214772;2434997;10
28;203973;2433454;6
29;219592;2419707;4
32;208325;2439275;2
33;216956;2438761;6
39;213896;2435383;2
44;216326;2425585;8
69;218850;2420281;48
85;208114;2429789;3
87;219108;2426495;8
107;211098;2434510;6
114;220379;2413544;4
131;206369;2434581;12
132;205394;2434627;8
136;218009;2437267;16
146;221582;2441159;8
148;220238;2429209;2
153;211733;2425147;8
185;217429;2406185;6
186;213230;2434714;8
192;209094;2434160;8
193;208817;2434346;8
195;207862;2430877;4
199;205355;2433722;4
205;215255;2438661;3
210;213604;2436122;8
213;220472;2429130;2
217;222086;2434094;6
218;210224;2439957;3
219;221766;2434058;14
225;219693;2429397;8
226;219416;2442632;8
240;217634;2432008;18
243;221064;2432124;8
253;218672;2429336;32
256;220239;2407467;14
261;217297;2426695;30
262;206427;2432965;14
265;214272;2435075;4
1003;220936;2414265;32
1065;209683;2426812;11
1190;222125;2439792;6
1193;209574;2429344;4
1196;204479;2434464;3
1198;217085;2440243;8
1201;220287;2429214;8
1203;206842;2432078;8
1205;209852;2433841;10
1206;220821;2431377;4
1210;203365;2431691;8
1211;198237;2413349;3
1212;216046;2426270;2
1213;206149;2430760;6
1219;218941;2440114;8
1226;207157;2436078;8
1227;207157;2436078;8
1241;220141;2414378;6
1244;204968;2433160;4
1281;207413;2428566;6
1301;217730;2422476;6
1326;220307;2429186;8
1342;216046;2426270;24
1343;213532;2423826;16
1355;222258;2428534;4
1364;205864;2430983;2
1380;209701;2431560;4
1381;213543;2423819;4
1403;207412;2432314;8
1404;219247;2430944;16
1414;208629;2434060;2
1443;213947;2423559;8
1486;208551;2439202;6
1492;215762;2413110;8
1494;216342;2413878;32
1495;215940;2413656;8
1508;201659;2430022;8
1510;207797;2425807;8
1513;210529.04;2403505.91;8
1515;197731;2407675;16
1516;205592;2404502;40
1518;210601;2406641;6
1522;205686;2407166;14
1526;203244;2430947;8
1527;199855;2426253;4
1528;200076;2426282;2
1529;203479;2430974;3
1533;204583;2403191;8
1544;198291;2408267;4
1560;203831;2403819;2
1563;204573;2403720;8
1567;199331;2425782;2
1570;221742;2416616;16
1571;203440;2416517;8
1573;219400;2418226;8
1574;199049;2424450;6
1575;219153;2418197;2
1576;222173;2416473;2
1579;204706;2418551;8
1581;217323;2419926;4
1582;212332;2419168;8
1583;201927;2416366;8
1584;213694;2413672;4
1585;197970;2423484;8
1586;203145;2419524;16
1587;198547;2418964;8
1588;209778;2411623;2
1589;217310;2419964;8
1590;203452;2417190;6
1591;212405;2419509;8
1592;202879;2416426;8
1594;203944;2420215;32
1595;204489;2417089;32
1596;218533;2417649;8
1597;199118;2409079;18
1598;200007;2420031;8
1599;219916;2417572;4
1600;216900;2421388;12
1601;200291;2419713;16
1603;207217;2412386;20
1604;202223;2410515;36
1605;212143;2414749;12
1606;219489;2417950;24
1607;205406;2422711;8
1608;215205;2421383;8
1609;206120;2416525;6
1610;220741;2417024;2
1611;204645;2414619;8
1612;212171;2414761;18
1613;219294;2419629;3
1614;217988;2420583;8
1615;214144;2414535;8
1617;203393;2416809;8
1618;213412;2412647;8
1620;209490;2411870;6
1621;212335;2419188;8
1622;199150;2417481;8
1623;205276;2412245;8
1624;203226;2416222;8
1625;212332;2419168;8
1626;221685;2416635;3
1627;198237;2413349;8
1629;205138;2414475;6
1631;200133;2417155;2
1632;202142.53;2404581.52;10
1660;202467;2429792;6
1688;208359;2435239;8
1691;199210;2416180;6
1692;221509;2431405;6
1700;196314;2404011;2
1703;219030;2429647;6
1714;217180;2422868;8
1715;222109;2428076;8
1727;210412;2436903;6
1730;213628;2424208;4
1733;204967;2433161;4
1734;209287;2430053;4
1736;206396;2429273;8
1877;221562;2428757;8
1904;208705;2435208;8
1905;220612;2428831;4
1914;216763;2442618;8
1916;205268;2431052;4
1930;210393;2403009;8
1931;201028;2426149;3
1934;210573;2407651;6
1936;217988;2420583;8
1937;220188;2418746;4
1938;212347;2419182;16
1939;217323;2419926;3
1941;203440;2416461;4
1943;221140;2416198;4
1944;219500;2417941;3
1954;218724;2417776;2
1964;213579;2439542;8
1967;220739;2431134;2
1972;213879;2423310;3
1982;206249;2435278;16
1991;220802;2431384;2
2010;207694;2426906;6
2011;213692;2413678;8
2016;212121;2424556;8
2020;218591;2429777;2
2025;216834;2437244;8
2031;212341;2419185;8
2036;206261;2420028;2
2045;213326;2429007;6
2060;215547;2427474;2
2064;205265;2422372;4
2080;216802;2421782;6
2096;220425;2409841;8
2099;214835;2423021;16
