ID;xFeet;yFeet;demand
5;289746;2310623;0
11;373765;2259257;26
36;374182;2260293;8
37;374511;2268622;8
49;388162;2274196;3
54;373381;2261932;3
55;373382;2261930;8
58;383240;2271343;6
59;372616;2263395;6
174;376980.96;2272730.27;8
176;392259;2277022;2
266;377542.27;2272861.83;8
267;377542.27;2272861.83;4
268;379243.72;2273317.89;8
283;378604.64;2273121.19;6
284;392234;2275630;8
285;392054;2276252;32
286;381013;2272657;8
287;372346;2262672;8
288;370950;2257481;8
289;371855;2261846;4
290;384308;2272302;8
291;364590;2266981;4
292;391850;2274997;6
293;385098;2274455;2
294;389490;2276777;4
295;396138;2277599;6
296;390504;2272465;8
297;375088;2261631;2
298;378924;2271132;32
299;373438;2261958;4
300;371242;2269502;4
301;369301;2256378;16
302;383562;2274629;8
303;378070;2268010;32
304;369929;2256805;12
305;376307;2261021;16
306;360339;2253682;30
307;372543;2263713;6
308;385422;2272127;6
309;370631;2258280;24
310;369089;2257761;2
311;377077.44;2272752.2;2
312;385664;2271411;8
313;377896;2262013;8
436;391172;2277215;16
448;365012;2267151;16
450;361068;2251834;16
461;384013;2274116;4
476;382388;2265172;16
481;371860;2267887;8
482;376678;2261300;8
488;364590;2266981;24
503;376293;2262262;2
505;368316;2255699;20
506;392461;2276405;18
511;372745;2260007;24
517;360502;2252639;32
520;377757;2272865;6
550;387795;2269578;6
562;381262.3;2273949.82;8
563;365941;2254043;12
570;380147;2265922;8
571;385621;2268982;8
1216;391868;2275004;12
1299;371947;2262480;16
1307;390773;2272844;6
1313;371863;2267888;8
1335;391557;2273912;6
1337;385317.19;2275602.56;8
1359;380146;2265922;4
1376;366878;2254686;3
1421;390886;2273729;8
1453;391358;2273676;8
1455;385665;2273917;6
1458;373101;2262660;6
1477;386914;2268743;8
1490;371595;2259179;24
1498;374850;2268836;2
1640;384634;2266959;2
1740;385494;2273181;6
1741;385890;2269935;6
1742;385656;2273935;8
1743;373168;2264043;4
1744;386266;2268184;6
1763;391753;2275306;6
1887;391557;2273912;8
1894;378089;2271217;8
1909;372752;2263106;8
1912;389668;2271307;3
1981;382477;2274356;8
2001;377952;2270993;6
2039;390620;2277117;8
2067;372353;2258356;8
2069;391228;2273927;8
